자동추출_모델명,상품ID,캠페인명,자동추출_카테고리,수동 적용_모델명,수동 적용_카테고리
AJ30CSS3P32SSY,12248228020,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30BSS5P36SST,11831040963,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30BSS3P32SSY,12248221400,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS3P29SSY,12615492537,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS3P26SSY,11830759186,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS2P26SSY,11830533331,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23BSS3P26SSY,11356730269,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS3P18SSY,11830543918,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS2P16SSY,12247960386,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS1P18SSY,8595592601,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18BSS3P18SSY,12248077928,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18BSS1P18SSY,8595600330,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AF-C3F1D,12210963099,쇼핑검색_TEST,그 외 상품,,그 외 상품
VS20C954AQK,12177594215,쇼핑_청소기,청소기,,청소기
VC33M4142L4,12011973735,쇼핑_청소기,청소기,,청소기
AY18CG7500,11813827609,쇼핑_제습기,제습기,,제습기
AR10B5150HZS,11947856034,쇼핑_에어컨,에어컨,,에어컨
AJ18BSS2P16SSY,11356684986,쇼핑_에어컨,시스템에어컨,,시스템에어컨
AF17C7932,12084076147,쇼핑_에어컨,에어컨,,에어컨
IZ-B33RWD2E,12236550059,쇼핑_비데,그 외 상품,,그 외 상품
KQ75QNF70B,12764393070,쇼핑_TV,TV,,TV
KQ65SF8E,13268303017,쇼핑_TV,TV,,TV
(미매칭)_🟤MD_상품모음_테스트,,🟤MD_상품모음_테스트,그 외 상품,,그 외 상품
HW-Q930H/KR,13364322369,🟣SD사운드바_HW-Q930H/KR,SD,HW-Q930H/KR,SD
HW-LS70H/KR,13365410246,🟣SD사운드바_HW-LS70H/KR,SD,HW-LS70H/KR,SD
HW-LS51H/KR,13365108130,🟣SD사운드바_HW-LS51H/KR,SD,HW-LS51H/KR,SD
HW-LS50H/KR,13364980157,🟣SD사운드바_HW-LS50H/KR,SD,HW-LS50H/KR,SD
AY70H18100,13141556069,🟢제습기_AY70H18100GVD,제습기,AY70H18100GVD,제습기
VR7MD97716G,13110922873,🖤로봇청소기_VR7MD97716G,청소기,VR7MD97716G,청소기
KQ98QF7AAFXKR,,🔴TV98인치_KQ98QF7AAFXKR,TV,KQ98QF7AAFXKR,TV
KU85MH75,13375852016,🔴TV85인치_KU85MH75AFXKR,TV,KU85MH75AFXKR,TV
KQ85QNH70,13268307284,🔴TV85인치_KQ85QNH70AFXKR,TV,KQ85QNH70AFXKR,TV
KQ85QND900,13052855869,🔴TV85인치_KQ85QND900FXKR,TV,KQ85QND900FXKR,TV
KQ85QF7S,13472759594,🔴TV85인치_KQ85QF7SAFXKR,TV,KQ85QF7SAFXKR,TV
KU75MH70,13155140429,🔴TV75인치_KU75MH70AFXKR,TV,KU75MH70AFXKR,TV
KQ75QNF70BFXKR,,🔴TV75인치_KQ75QNF70BFXKR(삭제),TV,KQ75QNF70BFXKR,TV
KU65UF8030,13332374270,🔴TV65인치_KU65UF8030FXKR,TV,KU65UF8030FXKR,TV
KQ65SF8EAEXKR,,🔴TV65인치_KQ65SF8EAEXKR,TV,KQ65SF8EAEXKR,TV
KQ65QF8A,13332464497,🔴TV65인치_KQ65QF8AAFXKR,TV,KQ65QF8AAFXKR,TV
KQ50QD67,12727507385,🔴TV50인치_KQ50QD67AFXKR,TV,KQ50QD67AFXKR,TV
KU43MH70,13268311410,🔴TV43인치_KU43MH70AFXKR,TV,KU43MH70AFXKR,TV
AW06C7155,13426613012,💙창문형에어컨_AW06C7155GWA,에어컨,AW06C7155GWA,에어컨
AF90H17D27S,13413687198,💙스탠드에어컨_AF90H17D27SS,에어컨,AF90H17D27SS,에어컨
AF70F17D11GS,,💙스탠드에어컨_AF70F17D11GS,에어컨,AF70F17D11GS,에어컨
AF90H17D27SR,13413811315,💙멀티형에어컨_AF90H17D27SRS,에어컨,AF90H17D27SRS,에어컨
AF70F17D11GRS,,💙멀티형에어컨_AF70F17D11GRS,에어컨,AF70F17D11GRS,에어컨
